Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-92;992140.953;1104712.96;505.69;Lcc;Productiva;MA250;0.09;3.23;24.1;55;0.5;0.82;19.56;5.13;42.9;19.2;23;0.03;14.3;3.08;0.01;12.8;80.48;0.24;45.2;0.1;1.93;904;7.43;2.346;10.93;40.6;0.134;6.1;2.18;1.1;3;1.74;16.8;1.18;95;0.2;0.18;6.9;0.062;39.7;3.3;93;0.2;10.5;121.7;0.3
PA-08;992067.0;1104845.6;527.14;Lcc;No productiva;MA250;0.082;2.26;4.5;22;0.5;0.12;17.11;0.55;19.19;3.2;38;0.05;5;1.55;7.82;0.01;0.01;0.19;9.8;2.1;5.5;2018;0.5;2.189;1.03;4.2;0.095;0.49;7.5;0.001;0.1;0.28;13.7;0.15;151;0.05;4.15;2.5;0.032;0.03;0.8;178;0.1;16.5;71.2;0.5
PA-10;992074.600;1104842.6;527.66;Lcc;No productiva;MA250;0.113;3.35;14.4;27;0.5;0.39;13.92;1.33;8.26;15.2;35;0.05;5.3;2.25;8.83;0.01;0.01;0.19;3.8;5.1;6.67;1679;0.7;2.408;1.08;18.3;0.124;1.15;8.5;0.001;0.37;1.02;11.5;0.4;194;0.05;3.46;2.7;0.035;0.05;1.2;157;0.2;10.2;99.4;3.6
PA-11;992078.300;1104841.9;527.76;Lcc;No productiva;MA250;0.067;3.39;10;15;0.5;0.39;10.02;0.26;53.05;9.9;24;0.05;3.9;1.56;11.09;0.01;0.01;0.16;28.7;2.3;4.15;1277;0.63;4.181;1.3;11.6;0.105;1.4;4.9;0.001;0.18;0.56;6.3;0.4;117;0.05;2.8;3.9;0.043;0.17;1;122;0.2;8.7;54.2;1
PA-12;992080.800;1104841.5;527.62;Lcc;No productiva;MA250;0.037;5.49;19.2;9;0.5;1.01;5.9;0.35;47.63;12.1;10;0.05;6.1;1.32;19.07;0.01;0.01;0.06;24.7;1.8;1.83;670;1.48;6.780;3.59;13.9;0.119;2.24;0.9;0.002;0.36;1.31;3.1;0.6;72;0.3;0.93;8.6;0.113;0.22;2.6;44;0.4;6.5;34.1;0.6
PA-13;992083.484;1104840.78;527.76;Lcc;No productiva;MA250;0.08;6.09;50.7;59;0.5;3.09;7.57;1.35;167.03;17;7;0.05;25.2;1.81;15.65;0.01;0.01;0.04;95.3;16.4;0.56;378;4.6;5.766;2.89;33.9;0.3;6.99;0.8;0.006;0.67;3.12;4.5;1.3;88;0.2;0.74;24.1;0.094;0.31;4.8;22;0.4;18.2;67.3;0.8
PA-14;992086.438;1104839.91;527.76;Lcc;No productiva;MA250;0.069;5.52;53.5;11;0.5;3.06;8.15;0.56;17.95;19.3;6;0.05;16.1;2.71;13.91;0.11;0.01;0.02;9;18.3;1.92;704;1.86;5.279;2.04;45.5;0.199;7.05;0.7;0.006;0.94;2.88;4.4;1;77;0.2;0.93;10.3;0.062;0.1;2.5;15;0.3;9.3;78;2.3
PA-15;992089.294;1104839.43;527.76;Lcc;No productiva;MA250;0.074;3.46;25.7;9;0.5;2.03;16.03;1.46;28.73;9.4;7;0.05;15.9;1.28;6.4;0.12;0.01;0.02;13.6;6;0.63;646;1.61;2.752;3.02;20.9;0.206;3.87;0.6;0.001;0.44;2.42;8.4;0.7;93;0.3;1.86;4.4;0.09;0.16;2.4;14;0.4;19.3;121.7;2.4
PA-22;992099.700;1104739.45;597.58;Lcc;No productiva;MA250;0.02;6.86;15.3;9;0.5;0.49;10.75;0.31;103.77;12.8;8;0.05;9.3;1.06;12.99;0.1;0.04;0.02;50.1;0.5;0.46;397;2.8;6.585;4.68;14.9;0.21;1.76;0.05;0.004;0.37;0.72;4.5;0.4;58;0.3;1.89;9.3;0.146;0.025;1.7;23;0.7;17.4;18;4
PA-23;992027.620;1104910.35;643.91;Lcc;No productiva;MA250;0.044;2.99;10;17;0.5;0.67;10.25;0.78;33.2;6.2;16;0.05;7;1.29;8.28;0.01;0.005;0.18;17;2.1;2.95;1223;1.27;3.266;3.22;7.8;0.18;1.21;5.4;0.001;0.2;1.09;4.7;0.4;142;0.2;3.88;2.8;0.11;0.07;1;121;0.6;8;124.7;1.3
